name	effect	tree	level
Ability focus	Choose one ability for which you have proficiency on saves. Gain 1 reroll for any save rolls or ability checks*short rest	Ability (choosen)	1
Sentry	You can roll a perception check and count it as your passive perception for minutes equal to your level. *short rest	Perception	3	Greater Skill focus (Perception)
Uncanny Alertness	In addition to your wisdom modifier, add your Dexterity modifier to your perception.	Perception	3	Alertness
Judgement of weakness	When using eyes of judgement, in addition to knowing creatures allignment, you know it's weaknesses and resistances.	Perception	4	Eyes of Judgment
Master sentry	When using sentry, you gain advantage on that perception skill check which counts for your passive perception. You can't be surprised while sentry is active. 	Perception	4	Sentry
One Eye Open	Your passive perception counts even when your are sleeping.	Perception	4	Uncanny Alertness
Smell Fear	Gain advantage on sensing creatures with keen scent if they are frightened. Keen scent is extended to 45ft.	Perception	4	Keen Scent
Improved initiative	Gain +4 on initiative	Perception	4	Uncanny Alertness
Greater Alertness	You can't be surprised while you are conscious. Other creatures don't gain advantage on attack roll against you as a result of being hidden from you.	Perception	4	Uncanny Alertness
Eldritch Eye	Ability to open third eye on forehead. Up to 1 minute. Open: gain advantage on perception skill checks, darkvision 60ft and ability to see invisible creatures. It takes a standar action. Effect stops when unconceous or after a  minute. After effect, roll DC 15 Wisdom save or fall unconceous for d10  minutes. *long rest 	Perception - Arcana	4	Eyes of Judgment	Magevision
Unsanctioned Detection	When using Detect evil and good spell, you have advantages on perception rolls and you add your caster level on passive perception.	Perception - Arcana	4	Greater Skill focus (Perception)	Greater Skill focus (Arcana)
Intimidating performance	Instead of rolling intimidate skill check when intimidating someone, you can roll a performance skill check instead and count it as intimidate.	Performance	2	Skill focus (Performance)
Combat distraction	As a full-round action, you can choose to do something that seems to serve no useful purpose. Example actions could include laughing at another creature’s misfortune, rooting in your pockets for a snack, bending over to pick up what looks like a weird bug, or trying to fly into the air by flapping your arms like a sea gull. Although you’re acting like a lunatic, your unpredictable actions are distracting. Any creature within 10 feet of you must pass DC 8 + your perform skill bonus or suffer penalty on all skill rolls, to hit rolls and concentration checks equal to your proficiency bonus, for as long as you continue to be a distraction and remain in range. This penalty stacks with other creatures performing combat distractions, as long as you’re both in range to the distracted target. Distraction stops if you get attacked. 	Performance	3	Intimidating performance
Harmonic Spell	You can use your bardic inspiration as a free action after casting a spell that has a verbal commponent.	Performance	3	Greater Skill focus (Performance)
Awe-Inspiring Strike	After a you score a critical hit or bring an enemy down to 0 HP with a melee attack, you can you use a Bonus Action to choose one creature other than yourself within 60 feet of you who can see you. That creature gains the effect of one Bardic Inspiration die, a d6.	Performance	3	Greater Skill focus (Performance)
Spectacular Exit	If you take Disengage action you can make a performance skill check against wisdom saving throw for all foes in 5ft from you at the start of your movement. Any foes that lose the contest gain disadvantages on attacks until your next round.	Performance	3	Greater Skill focus (Performance)
Actor	You gain advantages on Deception and performance checks when trying to pass your self as a person that you studied visualy for atleast a minute. You can also attempt to mimic speech of another person. You must have heard the person speaking, for atleast a minut. Insight against your Deception allows a listener to determine that the speech is faked.	Performance	3	Greater Skill focus (Performance)
Captivating display	When performing to an audience, make a performance check. Everyone must pass a wisdom saving throw or be stunned for a minute. If stop performing during minute, effect stops. *long rest	Performance	4	Greater Skill focus (Performance)
Spellsong	You can use up one of your bardic inspirations to cast a spell at 1 level higher slot, without needing to spend a higher slot.	Performance	4	Harmonic Spell
Combat flourish	You can use your Performance skill bonus instead of dexterity bonus to AC when provoking attacks of opportunity. Count armor penalties.	Performance	4	Awe-Inspiring Strike	Spectacular Exit
Animal call	You can use your deception skill to mimic the calls of animals that you heared before. Can use nature check to detect that it's a false sound.	Performance - Nature	3	Skill focus (Nature)	Skill focus (Performance)
Ironclad Logic	When you are forcing a point in a verbal duel or trying to persuade someone to change their mind, you gain bonus equal to your int mod on persuasion or deception.	Persuasion	3	Greater Skill focus (Persuasion)
Persuasive Bribery	You can attempt a persuasion check for bribary without provoking the target creature. You can add your Int modifier to persuasion checks when attempting bribery.	Persuasion	3	Greater Skill focus (Persuasion)
Betrayer	You can attempt a persuasion check against a creature in 10ft from you. If you succeed persuasion check to seem harmless against insight, you can take a 5ft movement, draw weapon and/or attack with adv. If hit, enemy has -2 init.	Persuasion	4	Greater Skill focus (Persuasion)
Commanding charm	You are able to persuade a creature charmed by you on anything short of killing themselves. 	Persuasion	4	Greater Skill focus (Persuasion)
Play to the crowd	You can make an insight check against opponents charisma save. If you succeed, you know what that character wants and you have advantages on persuasion and deception checks when using that knowlidge in an argument.	Persuasion	4	Ironclad Logic
Believer's boon	You learn the thaumaturgy and detect evil and good spells. You can cast detect evil and good once without expending a spell slot, and you regain the ability to do so when you finish a long rest.	Religion	2	Skill focus (Religion)
Greater Believer's boon	You gain channel divinity from one of cleric domains. Your cleric level is 1 for purposes of effects. You do not gain turn undead.  If Cleric, instead gain another use of channel divinity per rest.	Religion	3	Believer's boon
Divine Protection	You can add your charisma modifier to any saving throw exept charisma saving throw. *short rest	Religion	3	Believer's boon
Hand of the beliver	You can spend 10 minutes invoking your diety, need holy symbol, heal 1d6+lvl* long rest	Religion	3	Believer's boon
Pure Faith	Gain Divine health paladin trait. If you are a level 3+ paladin, poison resistance.	Religion	3	Believer's boon
Divine Interference	As a reaction, you can use Believer's boon channel divinity to force opponent in 30ft to reroll a successful hit against an ally. New roll has penalty=spell lvl sacrificed *short rest	Religion	4	Divine Protection
Exorcist	As full round you can invoke holy rites of your divinity. All undead or possesed creatures in 10ft to roll DC 10+1/2 your level+cha mod or be stunned for 1 round. *long rest	Religion	4	Hand of the beliver
School of finesse	Gain +1 to attack rolls with finesse weapons.	Schools of combat	1	Profficiency in atleast 1 finesse weapon
School of soldier	Gain +1 to attack rolls with versatile weapons.	Schools of combat	1	Profficiency in atleast 1 martial weapon
School of improvisation	Your unarmed attacks deal 1d4 damage instead of 1. If you have atleast a level in monk class, instead you get +1 to damage per attack.	Schools of combat	1	Strength or dexterity 15+
School of dishonor	Gain +1 on damage rolls against surprised and prone foes.	Schools of combat	1	Non-lawful allignment
School of marksman	Gain +1 to attack rolls with ranged weapons if the target is not in cover.	Schools of combat	1	Profficiency in atleast 1 ranged weapon
School of recklesness	Gain +1 to damage rolls with heavy or two-handed weapons.	Schools of combat	1	Profficiency in atleast 1 two-handed weapon
Cloak and dagger	You gain advantage on any Dexterity (Sleight of Hand) checks to conceal a dagger on your person.	Schools of combat (dishonor)	2	School of dishonor
Dirty trick	You can attempt to hinder a foe in melee as a standard action. Target needs to pass a dexterity saving throw equal to 10+proficiency bonus+your dexterity modifier or suffer the effect. Examples include kicking sand into an opponent’s face to blind him for 1 round, pulling down an enemy’s pants to halve his speed, or hitting a foe in a sensitive spot to make him stunned for a round. The GM is the arbiter of what can be accomplished with this action, but it cannot be used to impose a permanent penalty. If you do not have the Improved Dirty Trick perk or a similar ability, attempting a dirty trick provokes an attack of opportunity from the target of your maneuver. If your attack is successful, the target takes a penalty. The penalty is limited to one of the following conditions: blinded, deafened, restrained or stunned. These effects last for 1 round. 	Schools of combat (dishonor)	2	School of dishonor
Lurker	When you are hidden from a creature and miss it with a ranged weapon attack, making the attack doesn't reveal your position.	Schools of combat (dishonor)	2	School of dishonor
Grappler	You can use your action to try to pin a creature Grappled by you. To do so, make another grapple check. If you succeed, you and the creature are both Restrained until the grapple ends. 	Schools of combat (dishonor)	2	School of dishonor
Dagger master	The range of your thrown daggers increases to 40/60. Ignore half cover when the target is within normal range of your thrown daggers. When you are wielding a dagger in both hands, your AC increases by 1.	Schools of combat (dishonor)	3	Cloak and dagger
Improved Dirty trick	You do not provoke an attack of opportunity when performing a dirty trick combat maneuver. Gain +1 on DC.	Schools of combat (dishonor)	3	Dirty trick
Skulker	You can try to hide when you are lightly obscured from the creature from which you are hiding. If you are hidden, you can move up to 10 feet in the open without revealing yourself if you end the move in a position where you’re not clearly visible.	Schools of combat (dishonor)	3	Lurker
Improved grappler	You have advantage on Attack rolls against a creature you are Grappling. Creatures that are one size larger than you don't automatically succeed on checks to escape your graple.	Schools of combat (dishonor)	3	Grappler
Anatomical precision	Once per turn, when you successful attack with one of your daggers, you can have the target make a CON Save (10+Proficiency mod) or suffer a Bleeding Wound. A creature with a Bleeding Wound takes 1d6 damage at the start of each of its turns. The target can use an action to make a DC 10 Medicine check to staunch the wound. Any magically healing instantly closes a Bleeding Wound.	Schools of combat (dishonor)	4	Dagger master
Masterful Dirty trick	Effect of dirty trick lasts for 1d4 rounds. Gain +2 on DC. Stacks with improved Dirty trick.	Schools of combat (dishonor)	4	Improved Dirty trick
Backstab	You gain Rogue class ability Sneak attack, but you don't gain damage increase, it is always 1d6. If you have levels in Rogue class, you instead gain +1 on every sneak attack dice rolled.	Schools of combat (dishonor)	4	Skulker
Struggle stopper	If a creature tries to break free from your graple, you can use your reaction to make an attack roll against it. You can only attack with light weapons and unarmed strikes. If you deal damage with that attack, grappled creature must first pass a constitution saving throw with DC = 10 + damage suffered. If failed, that creature can't attempt to break free from the grapple and loses its action. 	Schools of combat (dishonor)	4	Improved grappler
Dual wielding	You can use two-weapon fighting even when the one handed melee weapons you are wielding aren't light. You can draw or stow two one-handed weapons when you would normally be able to draw or stow only one.	Schools of combat (finesse)	2	School of finesse
Duelist	If there is only one foe in your reach and if no allies are in 5ft from that foe, you gain a bonus to attack and damage equal to your wisdom modifier (minimum 1).	Schools of combat (finesse)	2	School of finesse
Light and agile	All light weapons count as having finesse.	Schools of combat (finesse)	2	School of finesse
Hidden armor	You can use deception skill check to hide the fact that you are wearing light armor.	Schools of combat (finesse)	2	School of finesse
Dual wielding finesse	Gain +1 bonus to AC while you are wielding a separate melee weapon in each hand. If the weapon you are using bonus action to attack with is finesse, add Dexterity to its damage. 	Schools of combat (finesse)	3	Dual wielding
Defensive duelist	If you take dodge action, once before your next turn you can use this perk to make an attack of opportunity against a creature that missed a melee attack against you and is in your reach.	Schools of combat (finesse)	3	Duelist
Spear dancer	When using versitile quality when attacking with spears, you can add finesse property to it.	Schools of combat (finesse)	3	Light and agile
Padded light armor	Gain +1 AC if wearing light armor.	Schools of combat (finesse)	3	Hidden armor
Dual wielding master	If you use two-weapon fighting to use a bonus action to attack with a light weapon, you can attack twice with it instead of once. If you throw a light weapon, you can draw another light weapon as part of the action.	Schools of combat (finesse)	4	Dual wielding finesse
Combat expertise	When using attack action with weapons that you have profficiency in, you can deny yourself the profficiency bonus on all attacks and instead add your profficiency bonus to your AC until the begining of your next turn.	Schools of combat (finesse)	4	Defensive duelist
Spear master	Spears have reach property when you use them. Gain +2 on damage when using spears with both hands.	Schools of combat (finesse)	4	Spear dancer
Modereatly armored	Gain medium armor proficiency and shield proficiency.	Schools of combat (finesse)	4	Padded light armor
Improved Unarmed Strike 	Your unarmed strike uses 1d4 for damage.	Schools of combat (improvised)	2	School of improvisation
Improvised Weapon Proficiency	Gain proficiency in improvised weapons. In addition, your improvised weapons use 1d6 instead of 1d4 for damage.	Schools of combat (improvised)	2	School of improvisation
Tavern brawler	As an attack action use unarmed strike against a foe, if it is a hit you can use a bonus action to either try to grapple him or knock him prone. First choose which effect you would want, then opponent rolls a DC 8 + proficiency bonus + your strenght modifier. If failed, apply effect.	Schools of combat (improvised)	3	Improved Unarmed Strike
Improvised Defense	Whenever you wield an improvised weapon, you gain a +1 bonus to AC. If you use the improvised weapon to attack, you lose this shield bonus until the beginning of your next turn.	Schools of combat (improvised)	3	Improvised Weapon Proficiency
Throw Anything	Add 10 to both ranges of any thrown weapon you use. You can use anything with mass of 1lb-20lb as an improvised ranged weapon. 	Schools of combat (improvised)	3	Improvised Weapon Proficiency
Catch Off-Guard 	If you are carrying an improvised weapon and you start a combat by attacking with it, you count as if being hidden for the purposes of the attack.	Schools of combat (improvised)	3	Improvised Weapon Proficiency
Martial artist	You count as having a secondary unarmed strike. You unarmed strikes have light property. You can use your unarmed strike as an off hand weapon for the purposes of two weapon fighting, exept you don't lose your ability modifier bonus on damage.	Schools of combat (improvised)	4	Tavern brawler
Improvised Weapon Mastery	Increase the amount of damage dealt by the improvised weapon to 1d8. The improvised weapon has a critical threat range of 19–20. Improvised weapons have these properties when you use them: Light, Versitile (1d10), Finesse.	Schools of combat (improvised)	4	Catch Off-Guard
Deadly throw	Your thrown weapons deal 1d6 bonus damage. 	Schools of combat (improvised)	4	Throw Anything
Heavy lifter	You can use stuff that weights 20lb - 10x your strength score lb as improvised weapons. You only get one attack, but it is 2d6 + double your strength modifier. You can use it as thrown weapon, but you have disadvantage and you can only throw it up to 20 ft. Foe that is hit by normal or thrown attack must pass a DC 10 + 2 times your strength modifier or get proned.	Schools of combat (improvised)	4	Improvised Weapon Proficiency	Strength 17+
Experienced crossbowman	When you use the attack action and attack with a one handed weapon, you can use your bonus action to attack with a loaded crossbow you are holding. Being within 5ft of a hostile creature doesn't impose disadvantage on your ranged attack rolls with crossbows.	Schools of combat (marksman)	2	School of marksman
Defensive bowman	You can make melee attacks with your bow. Treat it as a finesse quarterstaff for a longbow or a d4/d6 versatile quarterstaff for a shortbow.	Schools of combat (marksman)	2	School of marksman
Point blank shot	Gain +1 on attack and damage rolls made against creatures in half range of your short range.	Schools of combat (marksman)	2	School of marksman
Skilled thrower	When you make a ranged weapon attack by throwing the weapon, the attack's normal range is increased by 10 feet, and the long range is increased by 20 feet.	Schools of combat (marksman)	2	School of marksman
Hipshooter	You can hold a crossbow you are profficient with in one hand. If the crossbow is loaded, and it uses two hands, you can attack with disadvantage using only one hand.	Schools of combat (marksman)	3	Experienced crossbowman
Rapid Shot	When you make an attack action with your bow, you can fire one additional arrow but all your attacks gain disadvantage.	Schools of combat (marksman)	3	Defensive bowman
Precision	Your ranged attacks ignore half cover. Ignore three-quarters cover if your enemy is in half of your weapons short range.	Schools of combat (marksman)	3	Point blank shot
Quick thrower	Being within 5 feet of a hostile creature doesn't impose disadvantage on your thrown weapon attack rolls.  You can pull an additional throwing weapon for free during your turn.	Schools of combat (marksman)	3	Skilled thrower
Crossbow expert	You ignore the loading quality of crossbows with which you are profficient. You don't get disadvantage on attacks when firing a crossbow with one hand. If holding a loaded crossbow, you can use it to make attacks of opportunity. 	Schools of combat (marksman)	4	Hipshooter
Snapshot	When you make a dash action while having your bow in hand, as a bonus action, in any point of your movement, you can make a single attack with your bow.	Schools of combat (marksman)	4	Rapid Shot
Bullseye	Before making an attack with a ranged weapon that you are proficient with, you can choose to take a penalty equal to your profficiency bonus. If the attack hits, add damage equal to 2 times your profficiency bonus.	Schools of combat (marksman)	4	Precision
Stopping throw	If you are holding a weapon with thrown quality and noone is in 5 ft from you, your attacks of opportunity are 15ft instead of 5ft. If you hit someone with this attack of opportunity, that foe must pass a DC 10 + your str mod + profficiency bonus. If unsuccessful, that foe must end it's movement in the sqare/hex in which it was hit by your attack.	Schools of combat (marksman)	4	Quick thrower
Weapon diversity	You can not pick a weapon that you are not profficient in. Become profficient with it. You can pick this perk multiple times.	Schools of combat (practice)	1
Battle focus	You may reroll any rolls of 1 when attacking in combat. 	Schools of combat (practice)	2	Weapon diversity
Battleready	In the initiative step, you can gain effect of dodge action until your first turn. You can activate this perk even if you are surprised.	Schools of combat (practice)	3	Battle focus
Advanced Battle focus	You may spend your bonus action to gain rerolls on any rolls of 1 when rolling to damage with weapons you are proficient with.	Schools of combat (practice)	4	Battleready
Versatile warrior	You can learn one additional fighting style that is available to your class.	Schools of combat (practice)	4	Battleready
Powerful swings	Gain +2 to damage with two handed weapons.	Schools of combat (reckless)	2	School of recklesness
Blunt force	Whenever you have advantage on a melee attack roll you make with a weapon that has bludgeoning damage and hit, you can knock the target prone if the lower of the two d20 rolls would also hit the target	Schools of combat (reckless)	2	School of recklesness
Power attack	Once per turn, before making an attack with a two handed melee weapon, you can choose to gain penalty equal to your profficiency modifier and add twice that much to damage for that attack.	Schools of combat (reckless)	2	School of recklesness
Cleave	As part of an attack action, When you hit a foe with a two handed weapon, you can make an additional attack bonus against a foe that is adjacent to the first and within reach. You can only make one additional attack per round with this feat. When you use this feat, you take a –2 penalty to your Armor Class until your next turn.	Schools of combat (reckless)	3	Powerful swings
Helping strike	If you use the Help action to aid an ally’s melee attack while you’re wielding a weapon with bludgeoning damage, you knock the target’s shield aside momentarily. In addition to the ally gaining advantage on the attack roll, the ally gains a +2 bonus to the roll if the target is using a shield.	Schools of combat (reckless)	3	Blunt force
Savage combatant	Once per turn, whenever you roll damage in melee, you can reroll any dice for that attack. You must take the second result. If you do so, you take a -2 penalty on AC until your next turn. 	Schools of combat (reckless)	3	Power attack
Greater cleave	When using cleave, If you hit, you can continue to make attacks against foes adjacent to the previous foe, so long as they are within your reach.	Schools of combat (reckless)	4	Cleave
Stunning strike	As an attack action, you can take a single attack with a weapon that has bludgeoning damage. If you hit, opponent must pass a DC 10 + str modifier or be stunned for 1 round. If the weapon has heavy quality, add 2 to DC and stun lasts for 1d4 rounds.	Schools of combat (reckless)	4	Helping strike
Furious attack	When making a power attack, ignore attack penalty from it. 	Schools of combat (reckless)	4	Savage combatant
Heavily armored	Gain +1 AC if wearing heavy or medium armor	Schools of combat (soldier)	2	School of soldier
Sentinel	As a reaction, you can grant an ally in 5ft who doesn't have a shield from you your shields AC bonus.	Schools of combat (soldier)	2	School of soldier
Underarm grip	When using a polearm you can use two-handed attacks with only one hand. You have disadvantage on those attacks. If using this perk, do not add ability modifiers to your damage.	Schools of combat (soldier)	2	School of soldier
Blade mastery	Gain +1 on all attack rolls with weapons that have slashing damage.	Schools of combat (soldier)	2	School of soldier
Weapon focus	Choose one martial weapon that you are proficient in. Gain +1 to attack rolls with this weapon.	Schools of combat (soldier)	2	School of soldier
Medium armor mastery	When wearing medium armor, you can add 3, rather than 2, to your AC if you have a Dexterity 16 or higher.	Schools of combat (soldier)	3	Heavily armored
Shield bash	As an attack action, instead of attacking with your weapons, you can attack with your shield. Damage is bludgeoning 1d4 + Str modifier. If it hits, if the target creature is your size or smaller it makes an athletics check against DC 10 + damage taken. If failed, creature is stunned for 1 round as is pushed 5ft away from you. If successful, it is only pushed 5ft away from you.	Schools of combat (soldier)	3	Sentinel
Polearms agility	When you take the Attack action and attack with only a glaive, spear, halberd, or quarterstaff, you can use a bonus action to make a melee attack with the opposite end of the weapon. This attack uses the same ability modifier as the primary attack. The weapon’s damage die for this attack is a d4, and it deals bludgeoning damage.	Schools of combat (soldier)	3	Underarm grip
Vipers reflexes	When you make an opportunity attack with a weapon that deals slashing damage, you have advantage on the attack roll.	Schools of combat (soldier)	3	Blade mastery
Improved Weapon focus	Gain +1 AC while using the weapon you picked with weapon focus. 	Schools of combat (soldier)	3	Weapon focus
Heavy armor mastery	While you are wearing heavy armor, you have resistance on bludgeoning, piercing and slashing damage that you take from non magical weapons. If wearing magical armor, you also have resistance against bludgeoning, piercing and slashing damage that you take from  magical weapons.	Schools of combat (soldier)	4	Medium armor mastery
Portable barrier	If you aren’t incapacitated, you can add your shield’s AC bonus to any Dexterity saving throw you make against a spell or other harmful effect that targets only you. If you are subjected to an effect that allows you to make a Dexterity saving throw to take only half damage, you can use your reaction to take no damage if you succeed on the saving throw, interposing your shield between yourself and the source of the effect.	Schools of combat (soldier)	4	Shield bash
Defensive stance	While you are wielding a glaive, halberd, pike, spear, or quarterstaff, other creatures provoke an opportunity attack from you when they enter your reach.	Schools of combat (soldier)	4	Polearms agility
Parrying stance	On your turn, you can use your reaction to assume a parrying stance, provided you have the weapon in hand. Doing so grants a +2 bonus to your AC until the start of your next turn or until you're not holding the weapon.	Schools of combat (soldier)	4	Vipers reflexes
Weapon mastery	You can add your proficiency bonus to damage rolls when utilizing the weapon you picked with weapon focus.	Schools of combat (soldier)	4	Improved Weapon focus
Spell Focus	Add +1 to the Difficulty Class for all saving throws against spells from the school of magic you select. 	Schools of magic	1	Atleast Level 1 Spellcaster
Spell Specialization	Select one spell of the school for which you have taken the Spell Focus perk. Treat your caster level as being two higher for all level-variable effects of the spell. Every time you gain an even level in the spellcasting class you chose your spell from, you can choose a new spell to replace the spell selected with this feat, and that spell becomes your specialized spell.	Schools of magic	2	Spell Focus
Greater spell focus	Add +1 to the Difficulty Class for all saving throws against spells from the school of magic that you selected with spell focus. 	Schools of magic	3	Spell Specialization
Flexible Wizardry	When you prepare your spells each day, you can choose to keep a number of spell slots equal to your Intelligence modifier (minimum 1) flexibly prepared. Instead of preparing a single spell within each of these slots, you can partially prepare two spells. Anytime after you prepare these flexible slots, you can spend a full-round action to finalize one slot, choosing one of the two spells to be finished and fully prepared in that slot. 	Schools of magic	4	Greater spell focus
Force Dash	As a bonus action you can sacrifice a single spell slot to gain 5ft x spell level +5ft on a single move on your turn. Cantrips can't be spent on this. When moving while affected by force dash, attacks of opportunity against you have disadvantage. *Long rest	Schools of magic	4	Greater spell focus
Spell Penetration	Ignore resistance when dealing damage with spells that you chose with spell specialization.	Schools of magic	4	Greater spell focus
Skill focus	Choose one skill that you are profficient in. Gain 1 reroll that you can use on that particular skill check. *short rest	Skill (choosen)	1
Greater skill focus	Choose a skill for which you have skill focus. You gain bards "Expertise" class ability for that skill. You can not use bards expertise twice on this skill.	Skill (choosen)	2	Skill focus
Experienced  	Gain profficiency in any 1 skill that you don't have profficiency in. Can be picked only once pre greater skill focus.	Skill (choosen)	3	Greater skill focus
Quick finggered	As a bonus action, you can make a Dexterity (Sleight of Hand) check to plant something on someone else, conceal an object on a creature, lift a purse, or take something from a pocket.	Sleight of hand	3	Greater skill focus (Sleight of hands)
Secret Signs	When casting a spell, you can contest slight of hand with insight of a creature to hide your somatic spellcasting commponent.	Sleight of hand	3	Greater skill focus (Sleight of hands)
Quick Draw	You can draw an additional weapon during an action. You can draw a hidden weapon (see the Sleight of Hand skill) without needing to use "Use object" action.	Sleight of hand	4	Greater skill focus (Sleight of hands)
Sly Draw	When you succesfuly do a feint while you have one weapon free, as a bonus action you may make a Sleight of Hand check to draw a light weapon and make an attack with disadvantage with it. 	Sleight of hand - Deception	3	Greater skill focus (Sleight of hands)	Feint
Deft catcher	You have advantages when trying to catch objects falling in your reach. You can use monks "Deflect Missiles" (profficiency bonus instead of monk level) *short rest.	Sleight of hands	3	Greater skill focus (Sleight of hands)
Walking Sleight	You can attempt a sleight of hand skill check as a bonus action any time during your movement.	Sleight of hands	3	Greater skill focus (Sleight of hands)
Deadly Dealer	You can use playing cards as thrown improvised weapons. Instead of str, use your dex mod for attack rolls and damage rolls.	Sleight of hands	4	Quick finggered
Conceal spell	You can hide a somatic or verbal component of a spell from other creatures. Deception skill check against passive perception for verbal component, sleight of hand for somatic component. Add spells casting level to  passive perception of creature you are hidding the spell from.	Sleight of hands - Deception	3	Greater Skill focus (Deception)	Skill focus (Sleight of hands)
Burglar	You gain proficiency with thieves’ tools. If you are already proficient with them, you add double your proficiency bonus to checks you make with them.	Stealth	2	Skill focus (Stealth)
Careful sneak	You do not apply the armor check penalty for light and medium armor on Stealth skill checks as long as you move half your speed or less.	Stealth	3	Greater Skill focus (Stealth)
Go Unnoticed	All surprised creatures are considered not to have noticed you at the start of combat, begining from first round of combat you can't be targeted while hidden. Effect ends in the same way as being hidden.	Stealth	3	Greater Skill focus (Stealth)
Expert disguise	You can take a minute to hide yourself in plain sight. Passive Perception DC 8+stealth to see in plane sight* short rest	Stealth	4	Greater Skill focus (Stealth)
Exquisite Sneak	You do not apply the armor check penalty for light and medium armor on Stealth skill checks. You can move halfspeed with heavy and ignore stealth check penalty.	Stealth	4	Careful sneak
Stealthy	If you are hidden, you can move up to 10 feet in the open without revealing yourself if you end the move in a position where you’re not clearly visible.	Stealth	4	Go Unnoticed
Shady magic	You gain disguise self spell, caster level is char level. *short rest	Stealth - Arcana	3	Greater Skill focus (Stealth)	Skill focus (Arcana)
Improved shady magic	You gain invisiblity spell, but can only cast on self and it lasts minutes equal to your profficiency bonus. *short rest	Stealth - Arcana	4	Shady magic	Skill focus (Arcana)
Lie Low	If you have been prone since the end of your last turn, gain +1 bonus to stealth checks for hiding for every 10 ft between your character and the closest enemy. Bonus can't be more than your dex modifier with a minimum of 1. 	Stealth - Dexterity	3	Ability focus (Dexterity)	Skill focus (Stealth)
Bull rush	If you move 15ft or more in straight line before using shove special attack, you can push them 5 more feet. Attacks of opportunity against you during this move have advantage. Also you deal them bludgeoning damage equal to str modifier.	Strength	2	Ability focus (Strength)
Deep diver	Ignore disadvantage from dangerous waters and you can double the number of turns you can hold your breath. Resistance to damage from deep water preasure	Strength	2	Ability focus (Strength)
Blitz rush	You can use bull rush when dashing.	Strength	3	Bull rush
Charge	As a dash action, if you move in a straight line, at the end of movement you can make a single attack with a weapon you are holding as part of the same action. You gain advantage on that attack roll, but attacks of opportunity against you during this move have advantage. You must move atleast 15ft for this to have effect. 	Strength	3	Ability focus (Strength)
Disposable Weapon	If you are attacking with an improvised weapon that is brakable (big branch, bamboo stick, chair...) you can choose to get disadvantage on attack. If you hit, regardless of the number on the attack die, it automaticaly counts as a critical hit. 	Strength	3	Greater ability focus (Strength)	Strength 17+
Furious Blow	Any time when you attack, you can spend one rage. If you do, if the attack hits, you can choose not to roll your damage dice for your weapon and instead deal damage equal to the maximum roll possible that weapon can do. (You only maximize basic weapon damage, bonus damage dice are not maximized). After using this ability, gain 1 exaustion level. *long rest 	Strength	3	Greater ability focus (Strength)	Barbarian
Improved Bull rush	Gain advantage on the athletics check made when using bull rush. Deal d6+str mod instead of only strength modifier. Attacks of opportunity against you when using bull rush are not with advantage.	Strength	3	Bull rush
Intimidating prowess	Add your Strength modifier to Intimidate skill checks in addition to your Charisma modifier.	Strength	3	Greater ability focus (Strength)
Small But Deadly	You ignore your disadvantage penalty when making attacks with weapons with heavy quality for which you have the Weapon Focus feat.	Strength	3	Greater ability focus (Strength)	Strength 15+
Stunning charge	If you successfuly hit an opponent with charge,enemy takes a constitution save DC 10+your str modifier+1 per every 15 ft of movement while charging. If failed, opponent is stunned for 1 round.	Strength	4	Charge
Merciless Rush	Creatures hit by your bull rush get stunned for 1 round. If your athletics check exceeds targets opposite skill check by 10, they are stunned for 1d4 rounds.	Strength	4	Bull rush
Minotaur’s Charge	When you hit an opponent with a charge attack, you might also initiate a bull rush as a bonus action. 	Strength	4	Improved Bull rush	Charge
Pommel Strike	Once per your turn, if you successfuly hit and damage a creature with a melee attack with bludgeon damage type, you can contest your strength modifier against opponents strength saving throw. If successful, target is knocked prone.	Strength	4	Disposable Weapon
Powerfull charge	For every 10ft crossed during a charge, you gain bonus damage equal to half your str modifier, rounded up (minimum 1) to the charge attacks damage.	Strength	4	Charge
Radiant Charge	When you hit with a charge attack, you can expend all of your remaining uses of lay on hands to deal extra damage equal to 1d6 per 5 pool points of lay on hands expended + your Charisma bonus. This damage is radiant.	Strength	4	Charge	Paladin
Raging Buldoze	While raging, when you attempt a bull rush, you can end your rage to add your constitution modifier to your athletics check and damage. Further, if you bull rush an opponent into a square another creature occupies or into a solid object, the opponent and the creature or object take bludgeoning damage equal to your Strength modifier + your Constitution modifier (target creature gets this damage in addition to normal bull rush damage).	Strength	4	Improved Bull rush	Barbarian
Raging Hurler	While raging, you can throw a two-handed weapon as a standard action, and you double range for weapons you throw. If you also have the Quick Draw feat, you can throw two-handed weapons at your full normal rate of attacks. Further, you can pick up an unattended object that you can use as a improvised weapon within your reach as part of the attack action to throw that item.	Strength	4	Greater ability focus (Strength)	Barbarian
Unstoppable Rush	You do not provoke an attack of opportunity when performing a bull rush.	Strength	4	Improved Bull rush
Fearsome Finish	Upon reducing an enemy to 0 or fewer hit points, for the remaining duration of the combat encounter, you gain advantage on any Intimidate checks made to demoralize opponents who can see both you and the opponent you dropped.	Strength - Intimidation	4	Greater ability focus (Strength)	Demoralize
Urban Forager	You may use the Survival skill to forage and track in urban locations	Survival	2	Skill focus (Survival)
